,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,23.92,0.0,-0.0,0.0,1.07
2021-01-01 01:00:00,24.37,0.0,-0.0,0.0,1.02
2021-01-01 02:00:00,24.83,76.45,0.0,76.45,0.97
2021-01-01 03:00:00,25.29,425.5,760.58,124.65,0.91
2021-01-01 04:00:00,25.74,604.45,827.77,123.1,0.86
2021-01-01 05:00:00,26.2,657.35,688.31,159.55,0.8
2021-01-01 06:00:00,26.65,789.3,778.99,157.5,0.75
2021-01-01 07:00:00,27.11,712.85,622.7,190.4,0.7
2021-01-01 08:00:00,30.56,642.25,570.36,183.0,1.24
2021-01-01 09:00:00,30.7,547.55,561.04,148.15,1.45
2021-01-01 10:00:00,30.45,416.1,560.67,99.05,1.59
2021-01-01 11:00:00,29.72,209.95,389.43,63.55,1.79
2021-01-01 12:00:00,28.29,27.5,89.97,13.45,1.72
2021-01-01 13:00:00,26.78,0.0,-0.0,0.0,1.31
2021-01-01 14:00:00,25.66,0.0,-0.0,0.0,0.69
2021-01-01 15:00:00,25.64,0.0,-0.0,0.0,0.21
2021-01-01 16:00:00,24.59,0.0,-0.0,0.0,0.48
2021-01-01 17:00:00,23.64,0.0,-0.0,0.0,0.62
2021-01-01 18:00:00,22.64,0.0,-0.0,0.0,0.97
2021-01-01 19:00:00,22.32,0.0,-0.0,0.0,1.17
2021-01-01 20:00:00,22.25,0.0,-0.0,0.0,1.38
2021-01-01 21:00:00,21.83,0.0,-0.0,0.0,1.38
2021-01-01 22:00:00,21.32,0.0,-0.0,0.0,1.38
2021-01-01 23:00:00,20.81,0.0,-0.0,0.0,1.31
2021-01-02 00:00:00,20.74,0.0,-0.0,0.0,1.24
2021-01-02 01:00:00,20.46,0.0,-0.0,0.0,1.17
2021-01-02 02:00:00,20.64,78.0,0.0,78.0,0.76
2021-01-02 03:00:00,24.58,458.1,909.87,99.1,0.41
2021-01-02 04:00:00,26.82,640.4,895.91,119.95,0.28
2021-01-02 05:00:00,28.37,752.9,845.81,141.3,0.55
2021-01-02 06:00:00,29.73,750.75,699.4,183.25,0.97
2021-01-02 07:00:00,30.28,667.35,518.13,232.2,1.24
2021-01-02 08:00:00,30.65,589.55,493.76,191.35,1.52
2021-01-02 09:00:00,30.68,513.45,500.47,156.35,1.59
2021-01-02 10:00:00,30.2,356.15,456.13,97.35,1.72
2021-01-02 11:00:00,29.41,183.95,321.57,62.4,1.86
2021-01-02 12:00:00,28.05,26.55,88.78,12.5,1.66
2021-01-02 13:00:00,26.73,0.0,-0.0,0.0,1.17
2021-01-02 14:00:00,25.59,0.0,-0.0,0.0,0.62
2021-01-02 15:00:00,25.8,0.0,-0.0,0.0,0.14
2021-01-02 16:00:00,25.09,0.0,-0.0,0.0,0.34
2021-01-02 17:00:00,23.99,0.0,-0.0,0.0,0.69
2021-01-02 18:00:00,22.98,0.0,-0.0,0.0,1.03
2021-01-02 19:00:00,23.06,0.0,-0.0,0.0,1.31
2021-01-02 20:00:00,22.68,0.0,-0.0,0.0,1.31
2021-01-02 21:00:00,22.28,0.0,-0.0,0.0,1.24
2021-01-02 22:00:00,22.0,0.0,-0.0,0.0,1.1
2021-01-02 23:00:00,21.63,0.0,-0.0,0.0,1.1
2021-01-03 00:00:00,21.2,0.0,-0.0,0.0,1.03
2021-01-03 01:00:00,21.06,0.0,-0.0,0.0,1.03
2021-01-03 02:00:00,21.18,73.6,0.0,73.6,0.69
2021-01-03 03:00:00,24.92,438.25,859.56,99.9,0.48
2021-01-03 04:00:00,27.01,625.55,876.56,116.8,0.76
2021-01-03 05:00:00,28.54,717.7,808.67,133.0,0.9
2021-01-03 06:00:00,29.86,649.45,597.66,164.25,1.17
2021-01-03 07:00:00,30.0,632.6,564.62,157.9,1.45
2021-01-03 08:00:00,30.39,540.05,388.78,226.0,1.59
2021-01-03 09:00:00,30.29,469.4,453.92,144.75,1.72
2021-01-03 10:00:00,30.09,372.55,462.47,109.25,1.93
2021-01-03 11:00:00,29.2,191.95,332.16,65.7,2.07
2021-01-03 12:00:00,27.88,28.9,88.86,14.65,1.79
2021-01-03 13:00:00,26.48,0.0,-0.0,0.0,1.38
2021-01-03 14:00:00,25.58,0.0,-0.0,0.0,1.17
2021-01-03 15:00:00,25.15,0.0,-0.0,0.0,0.97
2021-01-03 16:00:00,24.72,0.0,-0.0,0.0,1.03
2021-01-03 17:00:00,24.33,0.0,-0.0,0.0,0.97
2021-01-03 18:00:00,24.06,0.0,-0.0,0.0,0.97
2021-01-03 19:00:00,23.47,0.0,-0.0,0.0,0.97
2021-01-03 20:00:00,23.18,0.0,-0.0,0.0,1.03
2021-01-03 21:00:00,22.74,0.0,-0.0,0.0,0.97
2021-01-03 22:00:00,22.5,0.0,-0.0,0.0,0.9
2021-01-03 23:00:00,22.76,0.0,-0.0,0.0,0.55
2021-01-04 00:00:00,23.28,0.0,-0.0,0.0,0.41
2021-01-04 01:00:00,23.19,0.0,-0.0,0.0,0.28
2021-01-04 02:00:00,23.29,61.75,0.0,61.75,0.28
2021-01-04 03:00:00,25.14,356.4,575.03,130.55,0.07
2021-01-04 04:00:00,26.71,578.4,785.25,123.0,0.14
2021-01-04 05:00:00,28.34,636.75,666.28,155.0,0.0
2021-01-04 06:00:00,29.61,702.85,629.11,191.8,0.21
2021-01-04 07:00:00,30.62,765.15,714.44,163.8,0.55
2021-01-04 08:00:00,31.63,668.4,620.2,166.55,0.97
2021-01-04 09:00:00,31.82,567.05,568.59,159.4,1.59
2021-01-04 10:00:00,31.53,375.3,465.24,109.5,2.0
2021-01-04 11:00:00,30.34,199.45,335.56,71.2,2.55
2021-01-04 12:00:00,28.51,29.85,94.47,14.5,2.21
2021-01-04 13:00:00,26.85,0.0,-0.0,0.0,1.59
2021-01-04 14:00:00,25.81,0.0,-0.0,0.0,1.1
2021-01-04 15:00:00,25.12,0.0,-0.0,0.0,0.97
2021-01-04 16:00:00,24.4,0.0,-0.0,0.0,0.62
2021-01-04 17:00:00,24.34,0.0,-0.0,0.0,0.41
2021-01-04 18:00:00,23.42,0.0,-0.0,0.0,0.76
2021-01-04 19:00:00,23.16,0.0,-0.0,0.0,0.83
2021-01-04 20:00:00,22.79,0.0,-0.0,0.0,0.97
2021-01-04 21:00:00,22.57,0.0,-0.0,0.0,0.9
2021-01-04 22:00:00,22.69,0.0,-0.0,0.0,0.69
2021-01-04 23:00:00,22.61,0.0,-0.0,0.0,0.76
2021-01-05 00:00:00,22.44,0.0,-0.0,0.0,1.24
2021-01-05 01:00:00,21.86,0.0,-0.0,0.0,1.38
2021-01-05 02:00:00,21.96,65.3,0.0,65.3,1.1
2021-01-05 03:00:00,23.76,414.55,798.69,101.5,0.83
2021-01-05 04:00:00,25.71,629.55,873.78,123.15,0.69
2021-01-05 05:00:00,27.6,754.35,834.91,150.6,0.34
2021-01-05 06:00:00,29.28,761.5,742.59,157.85,0.34
2021-01-05 07:00:00,29.99,563.5,383.27,240.5,0.69
2021-01-05 08:00:00,30.33,633.55,511.58,218.85,1.45
2021-01-05 09:00:00,30.7,523.35,516.95,151.8,2.0
2021-01-05 10:00:00,30.27,428.35,582.46,94.4,2.28
2021-01-05 11:00:00,29.35,221.95,409.79,64.45,2.34
2021-01-05 12:00:00,27.9,33.15,103.87,16.05,2.0
2021-01-05 13:00:00,26.36,0.0,-0.0,0.0,1.31
2021-01-05 14:00:00,25.5,0.0,-0.0,0.0,1.1
2021-01-05 15:00:00,24.91,0.0,-0.0,0.0,1.17
2021-01-05 16:00:00,24.3,0.0,-0.0,0.0,1.03
2021-01-05 17:00:00,23.58,0.0,-0.0,0.0,0.83
2021-01-05 18:00:00,23.22,0.0,-0.0,0.0,0.83
2021-01-05 19:00:00,22.9,0.0,-0.0,0.0,0.9
2021-01-05 20:00:00,22.74,0.0,-0.0,0.0,1.03
2021-01-05 21:00:00,22.43,0.0,-0.0,0.0,1.03
2021-01-05 22:00:00,22.28,0.0,-0.0,0.0,1.1
2021-01-05 23:00:00,21.96,0.0,-0.0,0.0,1.17
2021-01-06 00:00:00,21.71,0.0,-0.0,0.0,1.24
2021-01-06 01:00:00,21.6,0.0,-0.0,0.0,1.24
2021-01-06 02:00:00,21.84,46.85,0.0,46.85,0.97
2021-01-06 03:00:00,22.88,235.75,331.03,106.25,0.83
2021-01-06 04:00:00,24.27,385.35,386.81,161.3,0.76
2021-01-06 05:00:00,25.71,585.6,543.36,192.6,0.48
2021-01-06 06:00:00,27.26,782.4,787.99,141.35,0.48
2021-01-06 07:00:00,29.64,741.4,681.83,166.05,0.55
2021-01-06 08:00:00,30.43,646.55,632.66,132.75,1.1
2021-01-06 09:00:00,30.5,596.15,622.35,147.7,1.72
2021-01-06 10:00:00,30.24,435.65,587.07,97.85,2.28
2021-01-06 11:00:00,29.05,214.9,386.79,65.4,2.76
2021-01-06 12:00:00,27.43,33.1,104.33,15.7,2.41
2021-01-06 13:00:00,25.87,0.0,-0.0,0.0,1.52
2021-01-06 14:00:00,24.99,0.0,-0.0,0.0,0.69
2021-01-06 15:00:00,24.54,0.0,-0.0,0.0,0.9
2021-01-06 16:00:00,23.85,0.0,-0.0,0.0,0.9
2021-01-06 17:00:00,23.5,0.0,-0.0,0.0,1.03
2021-01-06 18:00:00,22.94,0.0,-0.0,0.0,1.1
2021-01-06 19:00:00,22.77,0.0,-0.0,0.0,1.03
2021-01-06 20:00:00,22.6,0.0,-0.0,0.0,1.03
2021-01-06 21:00:00,22.09,0.0,-0.0,0.0,1.1
2021-01-06 22:00:00,21.88,0.0,-0.0,0.0,1.1
2021-01-06 23:00:00,21.83,0.0,-0.0,0.0,1.17
2021-01-07 00:00:00,21.56,0.0,-0.0,0.0,1.31
2021-01-07 01:00:00,21.12,0.0,-0.0,0.0,1.24
2021-01-07 02:00:00,20.96,75.9,0.0,75.9,0.62
2021-01-07 03:00:00,23.94,451.25,918.28,92.65,0.41
2021-01-07 04:00:00,25.79,635.95,904.19,112.45,0.62
2021-01-07 05:00:00,27.22,689.5,733.8,158.6,0.48
2021-01-07 06:00:00,28.12,692.05,650.62,162.3,0.62
2021-01-07 07:00:00,28.91,741.05,643.91,196.95,0.9
2021-01-07 08:00:00,29.65,624.95,544.37,182.0,1.31
2021-01-07 09:00:00,29.73,354.2,166.1,234.2,1.72
2021-01-07 10:00:00,28.82,351.1,364.16,140.8,2.14
2021-01-07 11:00:00,28.22,173.85,270.0,68.9,2.0
2021-01-07 12:00:00,27.13,29.5,92.93,13.8,1.66
2021-01-07 13:00:00,25.9,0.0,-0.0,0.0,1.1
2021-01-07 14:00:00,24.92,0.0,-0.0,0.0,0.62
2021-01-07 15:00:00,24.51,0.0,-0.0,0.0,0.62
2021-01-07 16:00:00,24.25,0.0,-0.0,0.0,1.1
2021-01-07 17:00:00,23.61,0.0,-0.0,0.0,1.1
2021-01-07 18:00:00,22.96,0.0,-0.0,0.0,1.1
2021-01-07 19:00:00,22.58,0.0,-0.0,0.0,0.9
2021-01-07 20:00:00,22.39,0.0,-0.0,0.0,1.03
2021-01-07 21:00:00,21.99,0.0,-0.0,0.0,1.24
2021-01-07 22:00:00,21.92,0.0,-0.0,0.0,1.17
2021-01-07 23:00:00,21.52,0.0,-0.0,0.0,1.24
2021-01-08 00:00:00,21.29,0.0,-0.0,0.0,1.1
2021-01-08 01:00:00,20.94,0.0,-0.0,0.0,1.1
2021-01-08 02:00:00,20.97,70.45,0.0,70.45,0.69
2021-01-08 03:00:00,23.54,425.6,837.17,99.2,0.34
2021-01-08 04:00:00,25.42,576.7,792.87,117.8,0.07
2021-01-08 05:00:00,26.72,771.95,893.78,125.05,0.21
2021-01-08 06:00:00,28.56,764.85,798.35,114.2,0.41
2021-01-08 07:00:00,29.16,747.2,650.78,196.5,0.55
2021-01-08 08:00:00,29.77,670.95,584.45,194.45,1.1
2021-01-08 09:00:00,29.87,552.5,561.73,145.6,1.52
2021-01-08 10:00:00,29.6,386.2,473.58,111.7,1.72
2021-01-08 11:00:00,28.74,213.55,360.69,72.55,1.86
2021-01-08 12:00:00,27.53,32.1,91.46,16.45,1.52
2021-01-08 13:00:00,26.09,0.0,-0.0,0.0,1.1
2021-01-08 14:00:00,25.07,0.0,-0.0,0.0,0.76
2021-01-08 15:00:00,24.81,0.0,-0.0,0.0,0.34
2021-01-08 16:00:00,24.51,0.0,-0.0,0.0,0.21
2021-01-08 17:00:00,23.41,0.0,-0.0,0.0,0.69
2021-01-08 18:00:00,22.52,0.0,-0.0,0.0,1.03
2021-01-08 19:00:00,21.92,0.0,-0.0,0.0,1.1
2021-01-08 20:00:00,21.91,0.0,-0.0,0.0,1.45
2021-01-08 21:00:00,21.27,0.0,-0.0,0.0,1.45
2021-01-08 22:00:00,20.53,0.0,-0.0,0.0,1.45
2021-01-08 23:00:00,20.09,0.0,-0.0,0.0,1.45
2021-01-09 00:00:00,19.86,0.0,-0.0,0.0,1.45
2021-01-09 01:00:00,19.46,0.0,-0.0,0.0,1.45
2021-01-09 02:00:00,19.86,67.05,0.0,67.05,1.24
2021-01-09 03:00:00,23.2,451.05,920.2,92.8,0.83
2021-01-09 04:00:00,25.57,621.4,875.47,114.8,0.55
2021-01-09 05:00:00,27.16,796.0,934.57,119.25,0.28
2021-01-09 06:00:00,28.88,883.45,935.19,120.5,0.41
2021-01-09 07:00:00,30.1,870.45,868.09,134.75,0.83
2021-01-09 08:00:00,30.83,731.7,731.91,133.75,1.38
2021-01-09 09:00:00,30.78,532.95,481.32,183.35,2.14
2021-01-09 10:00:00,29.9,408.85,520.56,106.0,2.62
2021-01-09 11:00:00,28.72,218.35,383.57,67.55,2.62
2021-01-09 12:00:00,27.45,35.0,103.3,17.1,2.0
2021-01-09 13:00:00,25.99,0.0,-0.0,0.0,1.1
2021-01-09 14:00:00,25.01,0.0,-0.0,0.0,0.48
2021-01-09 15:00:00,25.02,0.0,-0.0,0.0,0.34
2021-01-09 16:00:00,24.12,0.0,-0.0,0.0,0.76
2021-01-09 17:00:00,23.97,0.0,-0.0,0.0,1.1
2021-01-09 18:00:00,23.47,0.0,-0.0,0.0,1.24
2021-01-09 19:00:00,23.18,0.0,-0.0,0.0,0.69
2021-01-09 20:00:00,22.88,0.0,-0.0,0.0,0.69
2021-01-09 21:00:00,22.37,0.0,-0.0,0.0,0.97
2021-01-09 22:00:00,22.23,0.0,-0.0,0.0,0.76
2021-01-09 23:00:00,22.59,0.0,-0.0,0.0,1.03
2021-01-10 00:00:00,22.37,0.0,-0.0,0.0,1.24
2021-01-10 01:00:00,22.21,0.0,-0.0,0.0,1.31
2021-01-10 02:00:00,22.68,59.25,0.0,59.25,0.9
2021-01-10 03:00:00,24.56,343.6,602.99,109.15,0.76
2021-01-10 04:00:00,26.5,532.3,678.02,140.0,0.76
2021-01-10 05:00:00,28.06,629.2,656.61,153.45,0.62
2021-01-10 06:00:00,29.6,772.15,737.46,169.85,0.55
2021-01-10 07:00:00,31.72,705.9,571.02,221.2,0.41
2021-01-10 08:00:00,32.42,596.3,447.12,230.25,0.76
2021-01-10 09:00:00,32.63,547.65,547.47,148.9,1.24
2021-01-10 10:00:00,32.45,367.7,449.17,105.4,1.72
2021-01-10 11:00:00,31.57,165.05,240.9,69.8,1.86
2021-01-10 12:00:00,29.85,28.15,68.96,16.05,1.79
2021-01-10 13:00:00,28.27,0.0,-0.0,0.0,2.28
2021-01-10 14:00:00,27.14,0.0,-0.0,0.0,2.0
2021-01-10 15:00:00,26.29,0.0,-0.0,0.0,1.45
2021-01-10 16:00:00,25.09,0.0,-0.0,0.0,0.28
2021-01-10 17:00:00,24.47,0.0,-0.0,0.0,0.83
2021-01-10 18:00:00,23.95,0.0,-0.0,0.0,0.76
2021-01-10 19:00:00,23.7,0.0,-0.0,0.0,0.48
2021-01-10 20:00:00,23.24,0.0,-0.0,0.0,0.55
2021-01-10 21:00:00,23.04,0.0,-0.0,0.0,0.83
2021-01-10 22:00:00,22.58,0.0,-0.0,0.0,1.03
2021-01-10 23:00:00,22.24,0.0,-0.0,0.0,1.1
2021-01-11 00:00:00,21.79,0.0,-0.0,0.0,1.17
2021-01-11 01:00:00,21.48,0.0,-0.0,0.0,1.24
2021-01-11 02:00:00,21.79,73.7,0.0,73.7,0.83
2021-01-11 03:00:00,24.17,414.25,764.47,117.35,0.55
2021-01-11 04:00:00,26.44,627.4,874.69,121.3,0.48
2021-01-11 05:00:00,28.43,783.35,899.2,131.4,0.0
2021-01-11 06:00:00,30.4,846.35,864.34,139.6,0.34
2021-01-11 07:00:00,31.77,826.0,820.08,128.75,0.21
2021-01-11 08:00:00,32.48,654.9,561.21,194.45,0.48
2021-01-11 09:00:00,32.54,514.95,463.1,176.7,1.03
2021-01-11 10:00:00,32.07,343.45,353.81,136.05,1.66
2021-01-11 11:00:00,31.19,167.55,211.36,83.5,2.21
2021-01-11 12:00:00,29.37,30.5,66.99,18.6,2.21
2021-01-11 13:00:00,27.8,0.0,-0.0,0.0,1.72
2021-01-11 14:00:00,26.74,0.0,-0.0,0.0,0.97
2021-01-11 15:00:00,26.16,0.0,-0.0,0.0,0.28
2021-01-11 16:00:00,25.77,0.0,-0.0,0.0,0.14
2021-01-11 17:00:00,25.01,0.0,-0.0,0.0,0.55
2021-01-11 18:00:00,24.46,0.0,-0.0,0.0,0.9
2021-01-11 19:00:00,24.28,0.0,-0.0,0.0,0.69
2021-01-11 20:00:00,23.89,0.0,-0.0,0.0,0.9
2021-01-11 21:00:00,23.62,0.0,-0.0,0.0,1.03
2021-01-11 22:00:00,23.39,0.0,-0.0,0.0,1.1
2021-01-11 23:00:00,23.15,0.0,-0.0,0.0,1.1
2021-01-12 00:00:00,22.93,0.0,-0.0,0.0,1.03
2021-01-12 01:00:00,22.79,0.0,-0.0,0.0,1.03
2021-01-12 02:00:00,22.89,69.45,0.0,69.45,0.76
2021-01-12 03:00:00,25.81,415.1,806.84,102.05,0.14
2021-01-12 04:00:00,27.83,590.7,792.49,132.1,0.14
2021-01-12 05:00:00,29.42,756.0,862.34,130.3,0.28
2021-01-12 06:00:00,30.98,627.5,551.73,175.8,0.34
2021-01-12 07:00:00,30.95,774.95,718.17,163.3,0.69
2021-01-12 08:00:00,31.66,539.9,497.16,131.1,1.1
2021-01-12 09:00:00,30.76,492.7,506.91,121.4,1.1
2021-01-12 10:00:00,30.41,304.75,315.08,119.35,1.17
2021-01-12 11:00:00,29.64,128.6,122.77,79.5,1.31
2021-01-12 12:00:00,28.64,27.55,47.26,19.05,1.24
2021-01-12 13:00:00,27.6,0.0,-0.0,0.0,1.03
2021-01-12 14:00:00,26.83,0.0,-0.0,0.0,0.9
2021-01-12 15:00:00,26.37,0.0,-0.0,0.0,1.03
2021-01-12 16:00:00,25.96,0.0,-0.0,0.0,0.97
2021-01-12 17:00:00,25.35,0.0,-0.0,0.0,0.55
2021-01-12 18:00:00,25.64,0.0,-0.0,0.0,0.14
2021-01-12 19:00:00,24.98,0.0,-0.0,0.0,0.41
2021-01-12 20:00:00,24.53,0.0,-0.0,0.0,0.48
2021-01-12 21:00:00,23.99,0.0,-0.0,0.0,0.55
2021-01-12 22:00:00,23.41,0.0,-0.0,0.0,0.69
2021-01-12 23:00:00,23.31,0.0,-0.0,0.0,1.03
2021-01-13 00:00:00,22.94,0.0,-0.0,0.0,1.17
