,ds,y
0,2023-01-06,14000
1,2023-01-07,11848
2,2023-01-08,10876
3,2023-01-09,10940
4,2023-01-10,8132
5,2023-01-11,9599
6,2023-01-12,6369
7,2023-01-13,0
8,2023-01-14,0
9,2023-01-15,0
10,2023-01-16,0
11,2023-01-17,0
12,2023-01-18,0
13,2023-01-19,0
14,2023-01-20,0
15,2023-01-21,0
16,2023-01-22,0
17,2023-01-23,0
18,2023-01-24,0
19,2023-01-25,0
20,2023-01-26,0
21,2023-01-27,0
22,2023-01-28,0
23,2023-01-29,0
24,2023-01-30,0
25,2023-01-31,0
26,2023-02-01,0
27,2023-02-02,0
28,2023-02-03,0
29,2023-02-04,0
30,2023-02-05,0
31,2023-02-06,12787
32,2023-02-07,6595
33,2023-02-08,11946
34,2023-02-09,10464
35,2023-02-10,13771
36,2023-02-11,8218
37,2023-02-12,8306
38,2023-02-13,0
39,2023-02-14,0
40,2023-02-15,0
41,2023-02-16,0
42,2023-02-17,0
43,2023-02-18,0
44,2023-02-19,0
45,2023-02-20,0
46,2023-02-21,0
47,2023-02-22,0
48,2023-02-23,0
49,2023-02-24,0
50,2023-02-25,0
51,2023-02-26,0
52,2023-02-27,0
53,2023-02-28,0
54,2023-03-01,0
55,2023-03-02,0
56,2023-03-03,0
57,2023-03-04,0
58,2023-03-05,0
59,2023-03-06,12870
60,2023-03-07,9918
61,2023-03-08,11487
62,2023-03-09,3657
63,2023-03-10,14248
64,2023-03-11,11257
65,2023-03-12,5127
66,2023-03-13,0
67,2023-03-14,0
68,2023-03-15,0
69,2023-03-16,0
70,2023-03-17,0
71,2023-03-18,0
72,2023-03-19,0
73,2023-03-20,0
74,2023-03-21,0
75,2023-03-22,0
76,2023-03-23,0
77,2023-03-24,0
78,2023-03-25,0
79,2023-03-26,0
80,2023-03-27,0
81,2023-03-28,0
82,2023-03-29,0
83,2023-03-30,0
84,2023-03-31,0
85,2023-04-01,0
86,2023-04-02,0
87,2023-04-03,0
88,2023-04-04,0
89,2023-04-05,11492
90,2023-04-06,11677
91,2023-04-07,7348
92,2023-04-08,12165
93,2023-04-09,6351
94,2023-04-10,14437
95,2023-04-11,8227
96,2023-04-12,3192
97,2023-04-13,0
98,2023-04-14,0
99,2023-04-15,0
100,2023-04-16,0
101,2023-04-17,0
102,2023-04-18,0
103,2023-04-19,0
104,2023-04-20,0
105,2023-04-21,0
106,2023-04-22,0
107,2023-04-23,0
108,2023-04-24,0
109,2023-04-25,0
110,2023-04-26,0
111,2023-04-27,0
112,2023-04-28,0
113,2023-04-29,0
114,2023-04-30,0
115,2023-05-01,0
116,2023-05-02,0
117,2023-05-03,0
118,2023-05-04,0
119,2023-05-05,7700
120,2023-05-06,13959
121,2023-05-07,7023
122,2023-05-08,11506
123,2023-05-09,9847
124,2023-05-10,12310
125,2023-05-11,9326
126,2023-05-12,7266
127,2023-05-13,12574
128,2023-05-14,15388
129,2023-05-15,16656
130,2023-05-16,16701
131,2023-05-17,13218
132,2023-05-18,13704
133,2023-05-19,13776
134,2023-05-20,12542
135,2023-05-21,12843
136,2023-05-22,13552
137,2023-05-23,15056
138,2023-05-24,16163
139,2023-05-25,14414
140,2023-05-26,15611
141,2023-05-27,15809
142,2023-05-28,14286
143,2023-05-29,10144
144,2023-05-30,12709
145,2023-05-31,13476
146,2023-06-01,0
147,2023-06-02,0
148,2023-06-03,0
149,2023-06-04,0
150,2023-06-05,9872
151,2023-06-06,14554
152,2023-06-07,8220
153,2023-06-08,9637
154,2023-06-09,8781
155,2023-06-10,9453
156,2023-06-11,8979
157,2023-06-12,9572
158,2023-06-13,14467
159,2023-06-14,14161
160,2023-06-15,12490
161,2023-06-16,15614
162,2023-06-17,3459
163,2023-06-18,6622
164,2023-06-19,6978
165,2023-06-20,3203
166,2023-06-21,5957
167,2023-06-22,11408
168,2023-06-23,9743
169,2023-06-24,7300
170,2023-06-25,10963
171,2023-06-26,7682
172,2023-06-27,11568
173,2023-06-28,10050
174,2023-06-29,8831
175,2023-06-30,10762
176,2023-07-01,0
177,2023-07-02,0
178,2023-07-03,0
179,2023-07-04,0
180,2023-07-05,9683
181,2023-07-06,14165
182,2023-07-07,7955
183,2023-07-08,12001
184,2023-07-09,10830
185,2023-07-10,8974
186,2023-07-11,5576
187,2023-07-12,6597
188,2023-07-13,8692
189,2023-07-14,10652
190,2023-07-15,14092
191,2023-07-16,10069
192,2023-07-17,9299
193,2023-07-18,11723
194,2023-07-19,7047
195,2023-07-20,10153
196,2023-07-21,8722
197,2023-07-22,5456
198,2023-07-23,5289
199,2023-07-24,5570
200,2023-07-25,5431
201,2023-07-26,5019
202,2023-07-27,10425
203,2023-07-28,8579
204,2023-07-29,7437
205,2023-07-30,13183
206,2023-07-31,12783
207,2023-08-01,0
208,2023-08-02,0
209,2023-08-03,0
210,2023-08-04,0
211,2023-08-05,10556
212,2023-08-06,15121
213,2023-08-07,6861
214,2023-08-08,9122
215,2023-08-09,9732
216,2023-08-10,10467
217,2023-08-11,8719
218,2023-08-12,6050
219,2023-08-13,6006
220,2023-08-14,0
221,2023-08-15,11333
222,2023-08-16,15425
223,2023-08-17,13644
224,2023-08-18,8336
225,2023-08-19,9243
226,2023-08-20,11630
227,2023-08-21,14942
228,2023-08-22,11180
229,2023-08-23,12999
230,2023-08-24,12930
231,2023-08-25,15349
232,2023-08-26,13109
233,2023-08-27,10967
234,2023-08-28,14833
235,2023-08-29,12276
236,2023-08-30,13496
237,2023-08-31,11003
238,2023-09-01,0
239,2023-09-02,0
240,2023-09-03,0
241,2023-09-04,0
242,2023-09-05,11702
243,2023-09-06,15636
244,2023-09-07,9673
245,2023-09-08,13690
246,2023-09-09,14284
247,2023-09-10,9440
248,2023-09-11,6536
249,2023-09-12,6998
250,2023-09-13,12365
251,2023-09-14,12039
252,2023-09-15,9860
253,2023-09-16,8526
254,2023-09-17,10430
255,2023-09-18,10150
256,2023-09-19,13880
257,2023-09-20,11523
258,2023-09-21,10125
259,2023-09-22,12079
260,2023-09-23,13052
261,2023-09-24,11761
262,2023-09-25,7832
263,2023-09-26,12245
264,2023-09-27,10531
265,2023-09-28,8933
266,2023-09-29,11522
267,2023-09-30,8967
268,2023-10-01,0
269,2023-10-02,0
270,2023-10-03,0
271,2023-10-04,0
272,2023-10-05,15394
273,2023-10-06,13793
274,2023-10-07,8511
275,2023-10-08,11758
276,2023-10-09,12985
277,2023-10-10,11089
278,2023-10-11,9203
279,2023-10-12,8262
280,2023-10-13,15773
281,2023-10-14,13802
282,2023-10-15,11922
283,2023-10-16,12058
284,2023-10-17,12362
285,2023-10-18,13240
286,2023-10-19,13258
