time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.97,0,0.0,0.0
2020-01-01 01:30:00+00:00,0.0,14.62,0.55,3.56,15.17,0.9,0,15.17,15.17
2020-01-01 02:30:00+00:00,0.0,58.18,2.2,16.85,60.38,0.55,0,60.38,60.38
2020-01-01 03:30:00+00:00,9.84,64.18,12.16,29.56,86.18,0.21,0,76.34,86.18
2020-01-01 04:30:00+00:00,73.11,85.75,16.91,41.19,175.76999999999998,0.14,0,102.66,175.76999999999998
2020-01-01 05:30:00+00:00,103.96,129.82,19.18,50.74,252.95999999999998,0.34,0,149.0,252.95999999999998
2020-01-01 06:30:00+00:00,138.08,107.97,21.22,56.38,267.27,0.34,0,129.19,267.27
2020-01-01 07:30:00+00:00,129.6,109.27,20.52,56.08,259.39,0.69,0,129.79,259.39
2020-01-01 08:30:00+00:00,89.77,103.82,16.99,49.97,210.57999999999998,0.97,0,120.80999999999999,210.57999999999998
2020-01-01 09:30:00+00:00,45.59,76.95,13.16,40.15,135.7,1.17,0,90.11,135.7
2020-01-01 10:30:00+00:00,0.0,91.04,3.44,28.38,94.48,1.66,0,94.48,94.48
2020-01-01 11:30:00+00:00,0.0,52.36,1.98,15.6,54.339999999999996,1.45,0,54.339999999999996,54.339999999999996
2020-01-01 12:30:00+00:00,0.0,9.43,0.36,2.27,9.79,1.45,0,9.79,9.79
2020-01-01 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,1.1,0,0.0,0.0
2020-01-01 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.76,0,0.0,0.0
2020-01-01 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.48,0,0.0,0.0
2020-01-01 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.21,0,0.0,0.0
2020-01-01 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.34,0,0.0,0.0
2020-01-01 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.62,0,0.0,0.0
2020-01-01 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.48,0,0.0,0.0
2020-01-01 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.76,0,0.0,0.0
2020-01-01 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.9,0,0.0,0.0
2020-01-01 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.55,0,0.0,0.0
2020-01-01 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.62,0,0.0,0.0
2020-01-02 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.97,0,0.0,0.0
2020-01-02 01:30:00+00:00,0.0,13.93,0.53,3.47,14.459999999999999,1.24,0,14.459999999999999,14.459999999999999
2020-01-02 02:30:00+00:00,0.0,58.73,2.22,16.78,60.949999999999996,0.9,0,60.949999999999996,60.949999999999996
2020-01-02 03:30:00+00:00,10.94,55.94,12.52,29.51,79.39999999999999,0.69,0,68.46,79.39999999999999
2020-01-02 04:30:00+00:00,82.31,67.47,17.72,41.16,167.5,0.34,0,85.19,167.5
2020-01-02 05:30:00+00:00,108.15,114.65,19.02,50.76,241.82000000000002,0.07,0,133.67000000000002,241.82000000000002
2020-01-02 06:30:00+00:00,125.53,126.12,20.26,56.44,271.90999999999997,0.41,0,146.38,271.90999999999997
2020-01-02 07:30:00+00:00,120.08,90.78,18.32,56.18,229.18,0.69,0,109.1,229.18
2020-01-02 08:30:00+00:00,105.27,99.84,19.06,50.1,224.17000000000002,1.24,0,118.9,224.17000000000002
2020-01-02 09:30:00+00:00,59.13,66.28,15.61,40.28,141.02,1.17,0,81.89,141.02
2020-01-02 10:30:00+00:00,0.0,79.17,2.99,28.51,82.16,0.9,0,82.16,82.16
2020-01-02 11:30:00+00:00,0.0,50.04,1.89,15.72,51.93,1.03,0,51.93,51.93
2020-01-02 12:30:00+00:00,0.0,8.42,0.32,2.39,8.74,1.17,0,8.74,8.74
