Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,23.92,81.87,0.0,-0.0,0.0,379.92,1.07,84.0,99440.0
20180101:0100,24.37,78.93,0.0,-0.0,0.0,382.39,1.02,69.0,99490.0
20180101:0200,24.83,75.99,76.45,0.0,76.45,384.87,0.97,58.0,99540.0
20180101:0300,25.29,73.04,425.5,760.58,124.65,387.34,0.91,40.0,99610.0
20180101:0400,25.74,70.1,604.45,827.77,123.1,389.82,0.86,360.0,99640.0
20180101:0500,26.2,67.16,657.35,688.31,159.55,392.29,0.8,322.0,99590.0
20180101:0600,26.65,64.22,789.3,778.99,157.5,394.76,0.75,278.0,99530.0
20180101:0700,27.11,61.27,712.85,622.7,190.4,397.24,0.7,269.0,99440.0
20180101:0800,30.56,45.45,642.25,570.36,183.0,403.1,1.24,259.0,99350.0
20180101:0900,30.7,44.05,547.55,561.04,148.15,406.6,1.45,256.0,99240.0
20180101:1000,30.45,45.45,416.1,560.67,99.05,398.3,1.59,259.0,99180.0
20180101:1100,29.72,48.5,209.95,389.43,63.55,388.6,1.79,266.0,99160.0
20180101:1200,28.29,57.15,27.5,89.97,13.45,385.9,1.72,272.0,99210.0
20180101:1300,26.78,65.0,0.0,-0.0,0.0,383.95,1.31,281.0,99270.0
20180101:1400,25.66,74.1,0.0,-0.0,0.0,381.05,0.69,291.0,99370.0
20180101:1500,25.64,69.3,0.0,-0.0,0.0,375.45,0.21,2.0,99450.0
20180101:1600,24.59,76.45,0.0,-0.0,0.0,373.7,0.48,44.0,99500.0
20180101:1700,23.64,81.55,0.0,-0.0,0.0,371.55,0.62,50.0,99500.0
20180101:1800,22.64,87.1,0.0,-0.0,0.0,370.8,0.97,56.0,99490.0
20180101:1900,22.32,90.0,0.0,-0.0,0.0,371.0,1.17,93.0,99460.0
20180101:2000,22.25,87.05,0.0,-0.0,0.0,371.0,1.38,86.0,99430.0
20180101:2100,21.83,89.95,0.0,-0.0,0.0,369.05,1.38,78.0,99340.0
20180101:2200,21.32,89.95,0.0,-0.0,0.0,370.8,1.38,72.0,99310.0
20180101:2300,20.81,92.95,0.0,-0.0,0.0,365.55,1.31,71.0,99310.0
20180102:0000,20.74,89.9,0.0,-0.0,0.0,370.2,1.24,71.0,99320.0
20180102:0100,20.46,92.95,0.0,-0.0,0.0,365.5,1.17,65.0,99390.0
20180102:0200,20.64,92.95,78.0,0.0,78.0,364.8,0.76,63.0,99480.0
20180102:0300,24.58,73.85,458.1,909.87,99.1,371.75,0.41,55.0,99590.0
20180102:0400,26.82,60.8,640.4,895.91,119.95,378.75,0.28,354.0,99640.0
20180102:0500,28.37,55.3,752.9,845.81,141.3,386.3,0.55,302.0,99600.0
20180102:0600,29.73,50.2,750.75,699.4,183.25,391.1,0.97,289.0,99550.0
20180102:0700,30.28,48.65,667.35,518.13,232.2,395.2,1.24,275.0,99440.0
20180102:0800,30.65,45.6,589.55,493.76,191.35,404.3,1.52,270.0,99340.0
20180102:0900,30.68,45.6,513.45,500.47,156.35,403.1,1.59,267.0,99220.0
20180102:1000,30.2,48.65,356.15,456.13,97.35,410.65,1.72,266.0,99160.0
20180102:1100,29.41,51.9,183.95,321.57,62.4,401.2,1.86,261.0,99160.0
20180102:1200,28.05,61.0,26.55,88.78,12.5,392.85,1.66,261.0,99180.0
20180102:1300,26.73,67.2,0.0,-0.0,0.0,391.9,1.17,267.0,99280.0
20180102:1400,25.59,81.75,0.0,-0.0,0.0,382.0,0.62,274.0,99360.0
20180102:1500,25.8,74.1,0.0,-0.0,0.0,384.95,0.14,313.0,99470.0
20180102:1600,25.09,79.05,0.0,-0.0,0.0,379.7,0.34,60.0,99510.0
