Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0030,0.0,0.0,0.0,0.0,23.24,0.97,0.0
20200101:0130,0.0,14.62,0.55,3.56,23.13,0.9,0.0
20200101:0230,188.2,85.99,5.26,16.85,23.32,0.55,0.0
20200101:0330,424.46,130.87,12.16,29.56,25.35,0.21,0.0
20200101:0430,549.09,157.6,16.91,41.19,27.1,0.14,0.0
20200101:0530,548.48,209.19,19.18,50.75,28.38,0.34,0.0
20200101:0630,650.92,180.84,21.22,56.38,29.66,0.34,0.0
20200101:0730,623.59,179.71,20.52,56.08,30.68,0.69,0.0
20200101:0830,509.94,163.79,16.99,49.97,30.94,0.97,0.0
20200101:0930,421.18,125.01,13.16,40.15,30.6,1.17,0.0
20200101:1030,277.54,126.28,9.16,28.38,30.29,1.66,0.0
20200101:1130,183.71,78.9,4.85,15.6,29.04,1.45,0.0
20200101:1230,0.0,10.36,0.36,2.27,28.27,1.45,0.0
20200101:1330,0.0,0.0,0.0,0.0,27.33,1.1,0.0
20200101:1430,0.0,0.0,0.0,0.0,26.33,0.76,0.0
20200101:1530,0.0,0.0,0.0,0.0,26.06,0.48,0.0
20200101:1630,0.0,0.0,0.0,0.0,26.08,0.21,0.0
20200101:1730,0.0,0.0,0.0,0.0,25.68,0.34,0.0
20200101:1830,0.0,0.0,0.0,0.0,25.09,0.62,0.0
20200101:1930,0.0,0.0,0.0,0.0,25.29,0.48,0.0
20200101:2030,0.0,0.0,0.0,0.0,24.55,0.76,0.0
20200101:2130,0.0,0.0,0.0,0.0,23.97,0.9,0.0
20200101:2230,0.0,0.0,0.0,0.0,23.91,0.55,0.0
20200101:2330,0.0,0.0,0.0,0.0,23.74,0.62,0.0
20200102:0030,0.0,0.0,0.0,0.0,23.2,0.97,0.0
20200102:0130,0.0,13.93,0.53,3.47,23.25,1.24,0.0
20200102:0230,214.97,89.96,5.72,16.78,23.29,0.9,0.0
20200102:0330,455.33,121.02,12.52,29.51,25.89,0.69,0.0
20200102:0430,612.71,134.23,17.72,41.16,27.69,0.34,0.0
20200102:0530,566.58,187.68,19.02,50.76,29.39,0.07,0.0
20200102:0630,587.59,199.95,20.26,56.44,30.56,0.41,0.0
20200102:0730,573.1,142.81,18.32,56.18,30.79,0.69,0.0
20200102:0830,591.36,169.9,19.06,50.1,31.07,1.24,0.0
20200102:0930,534.25,123.58,15.61,40.28,30.78,1.17,0.0
20200102:1030,264.18,108.62,8.45,28.51,30.2,0.9,0.0
20200102:1130,172.87,74.0,4.61,15.72,29.46,1.03,0.0
20200102:1230,61.51,12.59,0.56,2.39,28.65,1.17,0.0
20200102:1330,0.0,0.0,0.0,0.0,27.68,1.17,0.0
20200102:1430,0.0,0.0,0.0,0.0,26.79,0.83,0.0
20200102:1530,0.0,0.0,0.0,0.0,26.58,0.34,0.0
20200102:1630,0.0,0.0,0.0,0.0,26.29,0.34,0.0
20200102:1730,0.0,0.0,0.0,0.0,25.76,0.55,0.0
20200102:1830,0.0,0.0,0.0,0.0,25.15,0.69,0.0
20200102:1930,0.0,0.0,0.0,0.0,25.24,0.48,0.0
20200102:2030,0.0,0.0,0.0,0.0,24.02,0.97,0.0
20200102:2130,0.0,0.0,0.0,0.0,23.99,1.24,0.0
20200102:2230,0.0,0.0,0.0,0.0,23.57,1.24,0.0
20200102:2330,0.0,0.0,0.0,0.0,23.17,1.24,0.0
20200103:0030,0.0,0.0,0.0,0.0,22.83,1.31,0.0
20200103:0130,0.0,14.31,0.54,3.39,22.54,1.45,0.0
20200103:0230,263.2,91.67,6.41,16.71,22.83,1.17,0.0
20200103:0330,482.35,122.51,13.09,29.46,25.55,0.83,0.0
20200103:0430,644.75,123.58,18.18,41.14,27.91,0.55,0.0
20200103:0530,744.84,142.47,22.02,50.77,29.66,0.41,0.0
20200103:0630,731.16,171.9,22.95,56.51,31.07,0.76,0.0
20200103:0730,572.76,203.42,20.02,56.3,32.28,0.97,0.0
20200103:0830,453.53,147.25,15.28,50.23,32.49,1.52,0.0
20200103:0930,394.86,158.59,13.56,40.42,32.03,2.14,0.0
20200103:1030,273.61,126.26,9.13,28.65,31.39,2.41,0.0
20200103:1130,191.66,68.61,4.74,15.85,30.45,2.28,0.0
20200103:1230,94.74,17.99,0.78,2.5,29.15,1.86,0.0
20200103:1330,0.0,0.0,0.0,0.0,27.84,1.31,0.0
20200103:1430,0.0,0.0,0.0,0.0,26.95,1.03,0.0
