Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0030,0.0,0.0,23.24,0.97,0.0
20200101:0130,15.18,3.56,23.13,0.9,0.0
20200101:0230,279.45,16.85,23.32,0.55,0.0
20200101:0330,567.5,29.56,25.35,0.21,0.0
20200101:0430,723.59,41.19,27.1,0.14,0.0
20200101:0530,776.85,50.75,28.38,0.34,0.0
20200101:0630,852.98,56.38,29.66,0.34,0.0
20200101:0730,823.81,56.08,30.68,0.69,0.0
20200101:0830,690.73,49.97,30.94,0.97,0.0
20200101:0930,559.35,40.15,30.6,1.17,0.0
20200101:1030,412.97,28.38,30.29,1.66,0.0
20200101:1130,267.45,15.6,29.04,1.45,0.0
20200101:1230,10.72,2.27,28.27,1.45,0.0
20200101:1330,0.0,0.0,27.33,1.1,0.0
20200101:1430,0.0,0.0,26.33,0.76,0.0
20200101:1530,0.0,0.0,26.06,0.48,0.0
20200101:1630,0.0,0.0,26.08,0.21,0.0
20200101:1730,0.0,0.0,25.68,0.34,0.0
20200101:1830,0.0,0.0,25.09,0.62,0.0
20200101:1930,0.0,0.0,25.29,0.48,0.0
20200101:2030,0.0,0.0,24.55,0.76,0.0
20200101:2130,0.0,0.0,23.97,0.9,0.0
20200101:2230,0.0,0.0,23.91,0.55,0.0
20200101:2330,0.0,0.0,23.74,0.62,0.0
20200102:0030,0.0,0.0,23.2,0.97,0.0
20200102:0130,14.45,3.47,23.25,1.24,0.0
20200102:0230,310.65,16.78,23.29,0.9,0.0
20200102:0330,588.86,29.51,25.89,0.69,0.0
20200102:0430,764.66,41.16,27.69,0.34,0.0
20200102:0530,773.29,50.76,29.39,0.07,0.0
20200102:0630,807.81,56.44,30.56,0.41,0.0
20200102:0730,734.23,56.18,30.79,0.69,0.0
20200102:0830,780.32,50.1,31.07,1.24,0.0
20200102:0930,673.44,40.28,30.78,1.17,0.0
20200102:1030,381.25,28.51,30.2,0.9,0.0
20200102:1130,251.48,15.72,29.46,1.03,0.0
20200102:1230,74.66,2.39,28.65,1.17,0.0
20200102:1330,0.0,0.0,27.68,1.17,0.0
20200102:1430,0.0,0.0,26.79,0.83,0.0
20200102:1530,0.0,0.0,26.58,0.34,0.0
20200102:1630,0.0,0.0,26.29,0.34,0.0
20200102:1730,0.0,0.0,25.76,0.55,0.0
20200102:1830,0.0,0.0,25.15,0.69,0.0
20200102:1930,0.0,0.0,25.24,0.48,0.0
20200102:2030,0.0,0.0,24.02,0.97,0.0
