time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2020-01-01 00:30:00,0.0,0.0,0.0,23.24,0.97
2020-01-01 01:30:00,15.18,0.0,0.55,23.13,0.9
2020-01-01 02:30:00,279.45,188.2,193.45999999999998,23.32,0.55
2020-01-01 03:30:00,567.5,424.46,436.62,25.35,0.21
2020-01-01 04:30:00,723.59,549.09,566.0,27.1,0.14
2020-01-01 05:30:00,776.85,548.48,567.66,28.38,0.34
2020-01-01 06:30:00,852.98,650.92,672.14,29.66,0.34
2020-01-01 07:30:00,823.81,623.59,644.11,30.68,0.69
2020-01-01 08:30:00,690.73,509.94,526.93,30.94,0.97
2020-01-01 09:30:00,559.35,421.18,434.34000000000003,30.6,1.17
2020-01-01 10:30:00,412.97,277.54,286.70000000000005,30.29,1.66
2020-01-01 11:30:00,267.45,183.71,188.56,29.04,1.45
2020-01-01 12:30:00,10.72,0.0,0.36,28.27,1.45
2020-01-01 13:30:00,0.0,0.0,0.0,27.33,1.1
2020-01-01 14:30:00,0.0,0.0,0.0,26.33,0.76
2020-01-01 15:30:00,0.0,0.0,0.0,26.06,0.48
2020-01-01 16:30:00,0.0,0.0,0.0,26.08,0.21
2020-01-01 17:30:00,0.0,0.0,0.0,25.68,0.34
2020-01-01 18:30:00,0.0,0.0,0.0,25.09,0.62
2020-01-01 19:30:00,0.0,0.0,0.0,25.29,0.48
2020-01-01 20:30:00,0.0,0.0,0.0,24.55,0.76
2020-01-01 21:30:00,0.0,0.0,0.0,23.97,0.9
2020-01-01 22:30:00,0.0,0.0,0.0,23.91,0.55
2020-01-01 23:30:00,0.0,0.0,0.0,23.74,0.62
2020-01-02 00:30:00,0.0,0.0,0.0,23.2,0.97
2020-01-02 01:30:00,14.45,0.0,0.53,23.25,1.24
2020-01-02 02:30:00,310.65,214.97,220.69,23.29,0.9
2020-01-02 03:30:00,588.86,455.33,467.84999999999997,25.89,0.69
2020-01-02 04:30:00,764.66,612.71,630.4300000000001,27.69,0.34
2020-01-02 05:30:00,773.29,566.58,585.6,29.39,0.07
2020-01-02 06:30:00,807.81,587.59,607.85,30.56,0.41
2020-01-02 07:30:00,734.23,573.1,591.4200000000001,30.79,0.69
2020-01-02 08:30:00,780.32,591.36,610.42,31.07,1.24
2020-01-02 09:30:00,673.44,534.25,549.86,30.78,1.17
2020-01-02 10:30:00,381.25,264.18,272.63,30.2,0.9
2020-01-02 11:30:00,251.48,172.87,177.48000000000002,29.46,1.03
2020-01-02 12:30:00,74.66,61.51,62.07,28.65,1.17
2020-01-02 13:30:00,0.0,0.0,0.0,27.68,1.17
2020-01-02 14:30:00,0.0,0.0,0.0,26.79,0.83
2020-01-02 15:30:00,0.0,0.0,0.0,26.58,0.34
2020-01-02 16:30:00,0.0,0.0,0.0,26.29,0.34
2020-01-02 17:30:00,0.0,0.0,0.0,25.76,0.55
2020-01-02 18:30:00,0.0,0.0,0.0,25.15,0.69
2020-01-02 19:30:00,0.0,0.0,0.0,25.24,0.48
2020-01-02 20:30:00,0.0,0.0,0.0,24.02,0.97
2020-01-02 21:30:00,0.0,0.0,0.0,23.99,1.24
2020-01-02 22:30:00,0.0,0.0,0.0,23.57,1.24
2020-01-02 23:30:00,0.0,0.0,0.0,23.17,1.24
2020-01-03 00:30:00,0.0,0.0,0.0,22.83,1.31
2020-01-03 01:30:00,14.85,0.0,0.54,22.54,1.45
2020-01-03 02:30:00,361.28,263.2,269.61,22.83,1.17
2020-01-03 03:30:00,617.94,482.35,495.44,25.55,0.83
2020-01-03 04:30:00,786.5,644.75,662.93,27.91,0.55
2020-01-03 05:30:00,909.33,744.84,766.86,29.66,0.41
2020-01-03 06:30:00,926.01,731.16,754.11,31.07,0.76
2020-01-03 07:30:00,796.2,572.76,592.78,32.28,0.97
2020-01-03 08:30:00,616.07,453.53,468.80999999999995,32.49,1.52
2020-01-03 09:30:00,567.01,394.86,408.42,32.03,2.14
2020-01-03 10:30:00,409.0,273.61,282.74,31.39,2.41
2020-01-03 11:30:00,265.02,191.66,196.4,30.45,2.28
2020-01-03 12:30:00,113.52,94.74,95.52,29.15,1.86
2020-01-03 13:30:00,0.0,0.0,0.0,27.84,1.31
2020-01-03 14:30:00,0.0,0.0,0.0,26.95,1.03
